
test score: 1128.0, max tile: 256.0

test score: 1232.0, max tile: 256.0

test score: 956.0, max tile: 128.0

test score: 1347.2, max tile: 256.0

test score: 821.6, max tile: 128.0

test score: 812.8, max tile: 128.0

test score: 1727.2, max tile: 256.0

test score: 1292.0, max tile: 256.0

test score: 1436.8, max tile: 256.0

test score: 983.2, max tile: 128.0

test score: 1051.2, max tile: 256.0

test score: 1280.8, max tile: 256.0

test score: 785.6, max tile: 128.0

test score: 740.8, max tile: 256.0

test score: 1148.0, max tile: 256.0

test score: 1278.4, max tile: 256.0

test score: 806.4, max tile: 128.0

test score: 1231.2, max tile: 256.0

test score: 672.0, max tile: 128.0

test score: 1179.2, max tile: 256.0

test score: 668.0, max tile: 128.0

test score: 1075.2, max tile: 256.0

test score: 948.0, max tile: 128.0

test score: 1126.4, max tile: 128.0

test score: 1332.0, max tile: 256.0

test score: 1040.8, max tile: 256.0

test score: 658.4, max tile: 128.0

test score: 877.5999999999999, max tile: 128.0

test score: 906.4000000000001, max tile: 128.0

test score: 985.5999999999999, max tile: 128.0

test score: 963.2, max tile: 128.0

test score: 508.0, max tile: 128.0

test score: 1098.4, max tile: 128.0

test score: 1445.6, max tile: 256.0

test score: 997.5999999999999, max tile: 128.0

test score: 938.4000000000001, max tile: 128.0

test score: 817.6, max tile: 128.0

test score: 608.8, max tile: 128.0

test score: 519.2, max tile: 128.0

test score: 576.0, max tile: 128.0

test score: 842.4000000000001, max tile: 128.0

test score: 663.2, max tile: 128.0

test score: 738.4, max tile: 128.0

test score: 644.8, max tile: 128.0

test score: 808.0, max tile: 128.0

test score: 1159.2, max tile: 256.0

test score: 727.2, max tile: 128.0

test score: 651.2, max tile: 128.0

test score: 875.2, max tile: 256.0

test score: 902.4000000000001, max tile: 256.0

test score: 913.5999999999999, max tile: 128.0

test score: 1116.0, max tile: 256.0

test score: 956.0, max tile: 128.0

test score: 778.4, max tile: 128.0

test score: 809.6, max tile: 128.0

test score: 1287.2, max tile: 256.0

test score: 1143.2, max tile: 256.0

test score: 1271.2, max tile: 256.0

test score: 1087.2, max tile: 128.0

test score: 750.4, max tile: 128.0

test score: 1097.6, max tile: 256.0

test score: 1148.8, max tile: 256.0

test score: 1220.0, max tile: 256.0

test score: 996.0, max tile: 128.0

test score: 988.8, max tile: 128.0

test score: 996.8, max tile: 256.0

test score: 1285.6, max tile: 256.0

test score: 967.2, max tile: 256.0

test score: 914.4000000000001, max tile: 256.0

test score: 692.0, max tile: 128.0

test score: 909.5999999999999, max tile: 256.0

test score: 904.0, max tile: 128.0

test score: 624.8, max tile: 128.0

test score: 980.0, max tile: 256.0

test score: 1536.0, max tile: 256.0

test score: 1031.2, max tile: 256.0

test score: 1242.4, max tile: 256.0

test score: 860.0, max tile: 128.0

test score: 926.4000000000001, max tile: 128.0

test score: 1160.8, max tile: 256.0

test score: 1264.8, max tile: 256.0

test score: 756.0, max tile: 128.0

test score: 1363.2, max tile: 256.0

test score: 1195.2, max tile: 256.0

test score: 1208.8, max tile: 256.0

test score: 1334.4, max tile: 256.0

test score: 669.6, max tile: 128.0

test score: 1020.0, max tile: 256.0

test score: 1097.6, max tile: 256.0

test score: 1118.4, max tile: 256.0

test score: 1292.0, max tile: 256.0

test score: 921.5999999999999, max tile: 256.0

test score: 665.6, max tile: 128.0

test score: 863.2, max tile: 128.0

test score: 951.2, max tile: 128.0

test score: 1109.6, max tile: 256.0

test score: 619.2, max tile: 128.0

test score: 1223.2, max tile: 256.0

test score: 1363.2, max tile: 256.0

test score: 629.6, max tile: 256.0

test score: 996.0, max tile: 256.0

test score: 778.4, max tile: 128.0

test score: 607.2, max tile: 128.0

test score: 975.2, max tile: 128.0

test score: 836.0, max tile: 128.0

test score: 788.0, max tile: 256.0

test score: 951.2, max tile: 128.0

test score: 501.6, max tile: 128.0

test score: 880.8, max tile: 256.0

test score: 1084.0, max tile: 128.0

test score: 916.8, max tile: 128.0

test score: 473.6, max tile: 64.0

test score: 808.8, max tile: 256.0

test score: 795.2, max tile: 128.0

test score: 780.0, max tile: 128.0

test score: 768.8, max tile: 128.0

test score: 902.4000000000001, max tile: 128.0

test score: 1092.8, max tile: 128.0

test score: 804.8, max tile: 128.0

test score: 987.2, max tile: 256.0

test score: 1192.0, max tile: 256.0

test score: 513.6, max tile: 128.0

test score: 559.2, max tile: 128.0

test score: 916.8, max tile: 256.0

test score: 1247.2, max tile: 256.0

test score: 1143.2, max tile: 256.0

test score: 943.2, max tile: 256.0

test score: 1227.2, max tile: 256.0

test score: 689.6, max tile: 128.0

test score: 683.2, max tile: 128.0

test score: 624.0, max tile: 128.0

test score: 284.0, max tile: 64.0

test score: 1322.4, max tile: 256.0

test score: 850.4000000000001, max tile: 256.0

test score: 1229.6, max tile: 256.0

test score: 458.4, max tile: 64.0

test score: 784.8, max tile: 128.0

test score: 1372.0, max tile: 256.0

test score: 980.8, max tile: 256.0

test score: 1001.5999999999999, max tile: 128.0

test score: 545.6, max tile: 128.0

test score: 1112.8, max tile: 256.0

test score: 1052.0, max tile: 256.0

test score: 1203.2, max tile: 256.0

test score: 893.5999999999999, max tile: 128.0

test score: 657.6, max tile: 128.0

test score: 1080.8, max tile: 256.0

test score: 768.0, max tile: 128.0

test score: 1736.8, max tile: 256.0

test score: 1216.8, max tile: 256.0

test score: 725.6, max tile: 128.0

test score: 907.2, max tile: 128.0

test score: 812.8, max tile: 128.0

test score: 909.5999999999999, max tile: 128.0

test score: 1401.6, max tile: 256.0

test score: 704.0, max tile: 128.0

test score: 905.5999999999999, max tile: 256.0

test score: 604.0, max tile: 128.0

test score: 504.79999999999995, max tile: 128.0

test score: 1511.2, max tile: 256.0

test score: 792.0, max tile: 128.0

test score: 1560.8, max tile: 256.0

test score: 1292.8, max tile: 256.0

test score: 684.8, max tile: 128.0

test score: 754.4, max tile: 128.0

test score: 994.4000000000001, max tile: 128.0

test score: 1249.6, max tile: 256.0

test score: 1095.2, max tile: 128.0

test score: 1329.6, max tile: 256.0

test score: 1020.0, max tile: 128.0

test score: 911.2, max tile: 128.0

test score: 932.8, max tile: 128.0

test score: 912.0, max tile: 128.0

test score: 1016.0, max tile: 128.0

test score: 1012.8, max tile: 256.0

test score: 579.2, max tile: 128.0

test score: 1168.0, max tile: 256.0

test score: 880.0, max tile: 128.0

test score: 661.6, max tile: 128.0

test score: 817.6, max tile: 128.0

test score: 994.4000000000001, max tile: 128.0

test score: 819.2, max tile: 128.0

test score: 813.6, max tile: 128.0

test score: 977.5999999999999, max tile: 128.0

test score: 613.6, max tile: 128.0

test score: 868.8, max tile: 128.0

test score: 797.6, max tile: 256.0

test score: 1159.2, max tile: 256.0

test score: 816.0, max tile: 128.0

test score: 1296.0, max tile: 256.0

test score: 812.8, max tile: 128.0

test score: 872.8, max tile: 128.0

test score: 804.8, max tile: 128.0

test score: 1622.4, max tile: 256.0

test score: 1122.4, max tile: 128.0

test score: 588.8, max tile: 128.0

test score: 629.6, max tile: 128.0

test score: 1236.0, max tile: 256.0

test score: 1296.8, max tile: 256.0

test score: 776.8, max tile: 256.0

test score: 1176.0, max tile: 256.0

test score: 723.2, max tile: 128.0

test score: 993.5999999999999, max tile: 128.0

test score: 568.0, max tile: 128.0

test score: 921.5999999999999, max tile: 128.0

test score: 591.2, max tile: 128.0

test score: 871.2, max tile: 128.0

test score: 736.0, max tile: 128.0

test score: 825.5999999999999, max tile: 256.0

test score: 1031.2, max tile: 256.0

test score: 1283.2, max tile: 256.0

test score: 1202.4, max tile: 256.0

test score: 744.8, max tile: 128.0

test score: 723.2, max tile: 128.0

test score: 945.5999999999999, max tile: 256.0

test score: 583.2, max tile: 128.0

test score: 707.2, max tile: 128.0

test score: 676.8, max tile: 128.0

test score: 448.0, max tile: 128.0

test score: 1268.8, max tile: 256.0

test score: 967.2, max tile: 256.0

test score: 686.4, max tile: 128.0

test score: 585.6, max tile: 128.0

test score: 1491.2, max tile: 256.0

test score: 1055.2, max tile: 256.0

test score: 800.0, max tile: 128.0

test score: 889.5999999999999, max tile: 256.0

test score: 1342.4, max tile: 256.0

test score: 1035.2, max tile: 128.0

test score: 538.4, max tile: 128.0

test score: 985.5999999999999, max tile: 256.0

test score: 946.4000000000001, max tile: 128.0

test score: 956.0, max tile: 256.0

test score: 803.2, max tile: 128.0

test score: 823.2, max tile: 128.0

test score: 1224.0, max tile: 256.0

test score: 981.5999999999999, max tile: 128.0

test score: 761.6, max tile: 128.0

test score: 1612.8, max tile: 256.0

test score: 910.4000000000001, max tile: 128.0

test score: 1630.4, max tile: 256.0

test score: 1016.8, max tile: 256.0

test score: 1289.6, max tile: 256.0

test score: 869.5999999999999, max tile: 128.0

test score: 892.8, max tile: 256.0

test score: 802.4, max tile: 128.0

test score: 1164.8, max tile: 256.0

test score: 970.4000000000001, max tile: 256.0

test score: 396.0, max tile: 128.0

test score: 717.6, max tile: 128.0

test score: 384.0, max tile: 64.0

test score: 1065.6, max tile: 256.0

test score: 920.8, max tile: 256.0

test score: 1038.4, max tile: 128.0

test score: 951.2, max tile: 256.0

test score: 614.4, max tile: 128.0

test score: 876.0, max tile: 128.0

test score: 1177.6, max tile: 128.0

test score: 917.5999999999999, max tile: 128.0

test score: 636.0, max tile: 128.0

test score: 1416.8, max tile: 256.0

test score: 1313.6, max tile: 256.0

test score: 802.4, max tile: 128.0

test score: 890.4000000000001, max tile: 256.0

test score: 841.5999999999999, max tile: 128.0

test score: 887.2, max tile: 128.0

test score: 869.5999999999999, max tile: 128.0

test score: 1160.0, max tile: 128.0

test score: 905.5999999999999, max tile: 128.0

test score: 1318.4, max tile: 128.0

test score: 1211.2, max tile: 256.0

test score: 671.2, max tile: 128.0

test score: 1327.2, max tile: 256.0

test score: 1292.0, max tile: 256.0

test score: 740.8, max tile: 128.0

test score: 648.0, max tile: 128.0

test score: 801.6, max tile: 128.0

test score: 755.2, max tile: 128.0

test score: 993.5999999999999, max tile: 256.0

test score: 1257.6, max tile: 256.0

test score: 878.4000000000001, max tile: 128.0

test score: 979.2, max tile: 256.0

test score: 1873.6, max tile: 512.0

test score: 1365.6, max tile: 256.0

test score: 874.4000000000001, max tile: 256.0

test score: 639.2, max tile: 128.0

test score: 857.5999999999999, max tile: 128.0

test score: 1305.6, max tile: 256.0

test score: 1313.6, max tile: 256.0

test score: 1102.4, max tile: 128.0

test score: 1240.8, max tile: 256.0

test score: 1016.8, max tile: 256.0

test score: 890.4000000000001, max tile: 128.0

test score: 1372.8, max tile: 256.0

test score: 544.0, max tile: 64.0

test score: 1014.4000000000001, max tile: 128.0

test score: 1063.2, max tile: 256.0

test score: 792.8, max tile: 128.0

test score: 920.8, max tile: 128.0

test score: 1229.6, max tile: 256.0

test score: 1348.8, max tile: 256.0

test score: 688.0, max tile: 256.0

test score: 889.5999999999999, max tile: 256.0

test score: 1118.4, max tile: 256.0

test score: 1125.6, max tile: 128.0

test score: 1198.4, max tile: 128.0

test score: 792.0, max tile: 128.0

test score: 1811.2, max tile: 256.0

test score: 900.0, max tile: 256.0

test score: 1270.4, max tile: 128.0

test score: 1127.2, max tile: 256.0

test score: 1541.6, max tile: 256.0

test score: 1318.4, max tile: 256.0

test score: 725.6, max tile: 128.0

test score: 1112.0, max tile: 128.0

test score: 1154.4, max tile: 256.0

test score: 1422.4, max tile: 256.0

test score: 869.5999999999999, max tile: 128.0

test score: 840.0, max tile: 256.0

test score: 924.0, max tile: 128.0

test score: 786.4, max tile: 128.0

test score: 870.4000000000001, max tile: 128.0

test score: 829.5999999999999, max tile: 128.0

test score: 839.2, max tile: 128.0

test score: 1604.8, max tile: 512.0

test score: 1072.8, max tile: 256.0

test score: 1044.0, max tile: 128.0

test score: 1300.8, max tile: 256.0

test score: 843.2, max tile: 128.0

test score: 1060.0, max tile: 256.0

test score: 696.8, max tile: 128.0

test score: 807.2, max tile: 128.0

test score: 587.2, max tile: 128.0

