
test score: 2324.0, max tile: 512.0, acc: 0.011169579030976966

epoch: 62, loss_vae: 44.217908187019276, loss_dqn: 7.633670623496331, total: 8787, step: 134     
epoch: 63, loss_vae: 44.160461598313915, loss_dqn: 7.654635634130075, total: 8875, step: 88     
epoch: 64, loss_vae: 44.09675050901887, loss_dqn: 7.65394887292145, total: 8971, step: 96     
epoch: 65, loss_vae: 44.0303910883513, loss_dqn: 7.660944184894015, total: 9070, step: 99     
epoch: 66, loss_vae: 43.96558115277733, loss_dqn: 7.6666254908264, total: 9167, step: 97     
epoch: 67, loss_vae: 43.920307285406224, loss_dqn: 7.673034865256563, total: 9236, step: 69     
epoch: 68, loss_vae: 43.82646235874954, loss_dqn: 7.672613176793029, total: 9380, step: 144     
epoch: 69, loss_vae: 43.751210789586786, loss_dqn: 7.670665789552201, total: 9497, step: 117     
epoch: 70, loss_vae: 43.69730449704078, loss_dqn: 7.6702009055087395, total: 9580, step: 83     
epoch: 71, loss_vae: 43.60254127475688, loss_dqn: 7.669323281953634, total: 9727, step: 147     
epoch: 72, loss_vae: 43.52666306126477, loss_dqn: 7.658941335569287, total: 9847, step: 120     
epoch: 73, loss_vae: 43.447914394371765, loss_dqn: 7.661779117143688, total: 9989, step: 142     
epoch: 74, loss_vae: 43.403983717055006, loss_dqn: 7.657772403507014, total: 10066, step: 77     
epoch: 75, loss_vae: 43.3341313547219, loss_dqn: 7.6436256516508285, total: 10181, step: 115     
epoch: 76, loss_vae: 43.23183496882407, loss_dqn: 7.632161264454658, total: 10355, step: 174     
epoch: 77, loss_vae: 43.181400215897135, loss_dqn: 7.6294994568140035, total: 10442, step: 87     
epoch: 78, loss_vae: 43.12268111889318, loss_dqn: 7.623245845456731, total: 10540, step: 98     
epoch: 79, loss_vae: 43.06323143125468, loss_dqn: 7.62295640628472, total: 10640, step: 100     
epoch: 80, loss_vae: 42.98138374130079, loss_dqn: 7.625074279485582, total: 10791, step: 151     
epoch: 81, loss_vae: 42.89610733968434, loss_dqn: 7.615665360553797, total: 10951, step: 160     
epoch: 82, loss_vae: 42.806829171232366, loss_dqn: 7.603789662260441, total: 11111, step: 160     
epoch: 83, loss_vae: 42.71396684087217, loss_dqn: 7.585296581891606, total: 11283, step: 172     
epoch: 84, loss_vae: 42.64749474992479, loss_dqn: 7.583403227784962, total: 11405, step: 122     
epoch: 85, loss_vae: 42.547580147795415, loss_dqn: 7.582510674619176, total: 11598, step: 193     
epoch: 86, loss_vae: 42.48658880837261, loss_dqn: 7.5851841586832816, total: 11728, step: 130     
epoch: 87, loss_vae: 42.42368876294117, loss_dqn: 7.579148151655049, total: 11860, step: 132     
epoch: 88, loss_vae: 42.3319672924826, loss_dqn: 7.585447666156484, total: 12065, step: 205     
epoch: 89, loss_vae: 42.287675598315566, loss_dqn: 7.58315779332974, total: 12164, step: 99     
epoch: 90, loss_vae: 42.250649845100824, loss_dqn: 7.58596552966933, total: 12255, step: 91     
epoch: 91, loss_vae: 42.20425357179675, loss_dqn: 7.58621851117161, total: 12360, step: 105     
epoch: 92, loss_vae: 42.165486896102365, loss_dqn: 7.587615009052606, total: 12450, step: 90     
epoch: 93, loss_vae: 42.121025757896255, loss_dqn: 7.586865069652899, total: 12551, step: 101     
epoch: 94, loss_vae: 42.041518193501176, loss_dqn: 7.598162966864364, total: 12737, step: 186     
epoch: 95, loss_vae: 41.97958423338126, loss_dqn: 7.605120812297164, total: 12895, step: 158     
epoch: 96, loss_vae: 41.93403946761544, loss_dqn: 7.606885813909513, total: 13003, step: 108     
epoch: 97, loss_vae: 41.882692350862776, loss_dqn: 7.612633878663495, total: 13136, step: 133     
epoch: 98, loss_vae: 41.815200951510846, loss_dqn: 7.624468521330044, total: 13318, step: 182     
epoch: 99, loss_vae: 41.779038130600426, loss_dqn: 7.633493305864162, total: 13420, step: 102     
test score: 906.9333333333333, max tile: 128.0, acc: 0.601911948701908

epoch: 100, loss_vae: 41.738000096585516, loss_dqn: 7.637320562137812, total: 13535, step: 115     
epoch: 101, loss_vae: 41.67554837898189, loss_dqn: 7.642424136143268, total: 13717, step: 182     
epoch: 102, loss_vae: 41.645226467155, loss_dqn: 7.647475033286798, total: 13808, step: 91     
epoch: 103, loss_vae: 41.61160846705259, loss_dqn: 7.65552175987902, total: 13913, step: 105     
epoch: 104, loss_vae: 41.571006353226295, loss_dqn: 7.664769681376479, total: 14035, step: 122     
epoch: 105, loss_vae: 41.530977681762316, loss_dqn: 7.672300215096914, total: 14157, step: 122     
epoch: 106, loss_vae: 41.496476087129786, loss_dqn: 7.671593812442575, total: 14258, step: 101     
epoch: 107, loss_vae: 41.46647946424256, loss_dqn: 7.666035561566251, total: 14337, step: 79     
epoch: 108, loss_vae: 41.4157332843361, loss_dqn: 7.665102079720041, total: 14480, step: 143     
epoch: 109, loss_vae: 41.38014377206707, loss_dqn: 7.663520048715728, total: 14589, step: 109     
epoch: 110, loss_vae: 41.34742462069701, loss_dqn: 7.659871201383421, total: 14686, step: 97     
epoch: 111, loss_vae: 41.287653082435114, loss_dqn: 7.6426819956149075, total: 14858, step: 172     
epoch: 112, loss_vae: 41.239441606220176, loss_dqn: 7.63890431063493, total: 14996, step: 138     
epoch: 113, loss_vae: 41.20046245286572, loss_dqn: 7.634702398543016, total: 15111, step: 115     
epoch: 114, loss_vae: 41.17033289367225, loss_dqn: 7.636052651997375, total: 15205, step: 94     
