
test score: 1092.9333333333334, max tile: 256.0

epoch: 90, loss: 3.4724285385057274, total: 11310, step: 141      
epoch: 91, loss: 3.4704507120846553, total: 11486, step: 176      
epoch: 92, loss: 3.4551909853754377, total: 11625, step: 139      
epoch: 93, loss: 3.451865734147726, total: 11769, step: 144      
epoch: 94, loss: 3.449271042750066, total: 11903, step: 134      
epoch: 95, loss: 3.445891859843192, total: 11981, step: 78      
epoch: 96, loss: 3.437449880821009, total: 12114, step: 133      
epoch: 97, loss: 3.4283805139853274, total: 12231, step: 117      
epoch: 98, loss: 3.432134839386052, total: 12313, step: 82      
epoch: 99, loss: 3.4334689998888606, total: 12421, step: 108      
test score: 2337.866666666667, max tile: 512.0

epoch: 100, loss: 3.4431188719198724, total: 12502, step: 81      
epoch: 101, loss: 3.4448137532483454, total: 12626, step: 124      
epoch: 102, loss: 3.4507221513652646, total: 12758, step: 132      
epoch: 103, loss: 3.450844164347722, total: 12855, step: 97      
epoch: 104, loss: 3.4541455930261424, total: 13013, step: 158      
epoch: 105, loss: 3.450067226074747, total: 13089, step: 76      
epoch: 106, loss: 3.451749549550411, total: 13233, step: 144      
epoch: 107, loss: 3.452598546896575, total: 13354, step: 121      
epoch: 108, loss: 3.452488889605433, total: 13435, step: 81      
epoch: 109, loss: 3.4519383847386416, total: 13572, step: 137      
epoch: 110, loss: 3.447653047088116, total: 13660, step: 88      
epoch: 111, loss: 3.444853683469147, total: 13726, step: 66      
epoch: 112, loss: 3.438160446877386, total: 13824, step: 98      
epoch: 113, loss: 3.4448997073705967, total: 13951, step: 127      
epoch: 114, loss: 3.442664542266218, total: 14010, step: 59      
epoch: 115, loss: 3.439082927555271, total: 14093, step: 83      
epoch: 116, loss: 3.436175508159981, total: 14167, step: 74      
epoch: 117, loss: 3.4352536593727745, total: 14298, step: 131      
epoch: 118, loss: 3.4299243654440486, total: 14461, step: 163      
epoch: 119, loss: 3.430441620595708, total: 14559, step: 98      
epoch: 120, loss: 3.4268154131894777, total: 14689, step: 130      
epoch: 121, loss: 3.4303360761038104, total: 14808, step: 119      
epoch: 122, loss: 3.433855311853163, total: 14937, step: 129      
epoch: 123, loss: 3.4287573538784026, total: 15101, step: 164      
epoch: 124, loss: 3.4247741427017835, total: 15185, step: 84      
epoch: 125, loss: 3.422386896532542, total: 15325, step: 140      
epoch: 126, loss: 3.4174374442183315, total: 15445, step: 120      
epoch: 127, loss: 3.4108472368671543, total: 15587, step: 142      
epoch: 128, loss: 3.40712111627596, total: 15731, step: 144      
epoch: 129, loss: 3.413097428267604, total: 15840, step: 109      
epoch: 130, loss: 3.4156150168404507, total: 15999, step: 159      
epoch: 131, loss: 3.4093432625938025, total: 16079, step: 80      
epoch: 132, loss: 3.4075404172585433, total: 16144, step: 65      
