
test score: 1822.9333333333334, max tile: 256.0

epoch: 92, loss: 24.359733491969905, total: 11308, step: 92      
epoch: 93, loss: 24.25435783595334, total: 11425, step: 117      
epoch: 94, loss: 24.193344236934447, total: 11488, step: 63      
epoch: 95, loss: 24.11002353980642, total: 11572, step: 84      
epoch: 96, loss: 24.03881137648806, total: 11701, step: 129      
epoch: 97, loss: 23.912892425531233, total: 11832, step: 131      
epoch: 98, loss: 23.854704369468045, total: 11908, step: 76      
epoch: 99, loss: 23.765833677607755, total: 12112, step: 204      
test score: 1675.7333333333333, max tile: 512.0

epoch: 100, loss: 23.67346994070525, total: 12327, step: 215      
epoch: 101, loss: 23.63621892816171, total: 12425, step: 98      
epoch: 102, loss: 23.562423902860623, total: 12623, step: 198      
epoch: 103, loss: 23.548504976650598, total: 12690, step: 67      
epoch: 104, loss: 23.42832234323115, total: 12812, step: 122      
epoch: 105, loss: 23.343997710922913, total: 12909, step: 97      
epoch: 106, loss: 23.317078242816084, total: 12975, step: 66      
epoch: 107, loss: 23.255037264148378, total: 13046, step: 71      
epoch: 108, loss: 23.237246149702752, total: 13174, step: 128      
epoch: 109, loss: 23.19235955175394, total: 13296, step: 122      
epoch: 110, loss: 23.082101512441138, total: 13453, step: 157      
epoch: 111, loss: 23.024333684672722, total: 13541, step: 88      
epoch: 112, loss: 22.895380966237035, total: 13706, step: 165      
epoch: 113, loss: 22.737314748001065, total: 13947, step: 241      
epoch: 114, loss: 22.704700519059998, total: 14087, step: 140      
epoch: 115, loss: 22.632987651900056, total: 14217, step: 130      
epoch: 116, loss: 22.551838267976088, total: 14346, step: 129      
epoch: 117, loss: 22.638888658511103, total: 14501, step: 155      
epoch: 118, loss: 22.64568008530173, total: 14652, step: 151      
epoch: 119, loss: 22.663089142945918, total: 14726, step: 74      
epoch: 120, loss: 22.66729053715078, total: 14802, step: 76      
epoch: 121, loss: 22.638070376744956, total: 14888, step: 86      
epoch: 122, loss: 22.537503789844664, total: 15107, step: 219      
epoch: 123, loss: 22.530006324991703, total: 15175, step: 68      
epoch: 124, loss: 22.4896036528459, total: 15271, step: 96      
epoch: 125, loss: 22.454816727767483, total: 15382, step: 111      
epoch: 126, loss: 22.41473162956752, total: 15523, step: 141      
epoch: 127, loss: 22.404421216025174, total: 15724, step: 201      
epoch: 128, loss: 22.31851353314881, total: 15854, step: 130      
epoch: 129, loss: 22.299630070843552, total: 15932, step: 78      
epoch: 130, loss: 22.287749828745394, total: 16073, step: 141      
epoch: 131, loss: 22.216139275418378, total: 16216, step: 143      
epoch: 132, loss: 22.220404454687387, total: 16344, step: 128      
epoch: 133, loss: 22.199627385117843, total: 16431, step: 87      
epoch: 134, loss: 22.13447633326003, total: 16588, step: 157      
epoch: 135, loss: 22.092751235749244, total: 16700, step: 112      
epoch: 136, loss: 22.052371516208026, total: 16792, step: 92      
epoch: 137, loss: 22.091707028077533, total: 16881, step: 89      
epoch: 138, loss: 22.055626393879322, total: 17006, step: 125      
